Mission Subphase,Sol,Centroid Longitude,Centroid Latitude,Area,Maximum Latitude,Minimum Latitude,Confidence Interval,Horizontal Distance,Vertical Distance
B02,17,-64.25,-11.15,612676.5,-3.24999,-16.35,75,788.8618208162422,774.9695400315062
B02,17,-10.85,-16.35,1181940.4,5.45,-35.25,50,497.8331313373017,2407.7279543513555
B02,17,47.95,-38.05,1027888.7,-27.45,-50.15,50,778.504802324672,1342.8851244170949
B02,17,78.95,-36.35,736004.94,-21.55,-47.65,50,470.4729669668853,1544.0221034046774
B02,17,11.25,-43.25,292525.44,-39.85,-45.85,50,819.1539592295541,354.9476099780869
B02,18,-11.65,28.75,989336.12,41.85,11.55,75,548.015733946173,1792.4854303893385
B02,18,-32.05,24.95,644664.19,33.75,14.65,75,569.7707648834089,1129.916558430243
B02,18,81.45,-34.65,1613816.0,-18.85,-53.05,75,822.7328496902569,2023.2013768750946
B02,18,53.35,-40.55,1197333.1,-29.25,-56.85,50,769.9239903716957,1632.7590058991993
B02,18,10.15,-39.95,963263.56,-31.95,-47.85,50,1026.6260409378365,940.6111664419302
B02,19,-27.95,25.55,811693.19,34.15,17.55,75,831.5439545639316,982.0217209393734
B02,19,-19.45,10.35,266219.19,14.15,5.75001,75,535.5423216642497,496.9260623899716
B02,19,-5.54999,25.75,1232008.6,38.45,11.15,75,764.1067061297124,1615.0116254002953
B02,19,85.05,-35.65,1577917.5,-14.95,-56.05,50,661.8625332743858,2431.3911283498946
B02,19,27.45,-38.85,1218462.1,-29.75,-48.75,75,1095.208448840754,1124.0007649306083
B02,20,-22.55,19.55,1163588.5,35.35,6.55,75,696.4513557164796,1703.7485278948168
B02,20,86.55,-25.95,1992576.9,-1.05,-51.25,50,694.0973929543183,2969.7283368166595
B02,20,-11.75,-40.65,18601.096,-39.25,-42.25,100,104.97982795552805,177.47380498904326
B02,21,3.75,25.55,1227517.9,42.05,8.85001,50,633.2981896636188,1964.042850299397
B02,21,-21.25,21.55,1465326.6,36.75,6.75001,75,836.3238335940104,1774.7374583110839
B02,21,30.95,-38.55,1204378.8,-26.55,-47.65,75,951.460501252142,1248.2324284229385
B02,22,21.35,27.95,3589278.5,43.25,9.65,50,1807.3913260192692,1987.706615877286
B02,22,-16.85,18.45,2141492.8,36.15,-0.0499954,50,1014.4787335053163,2141.5169747412892
B02,22,97.25,-16.35,1289256.9,4.15,-47.25,50,452.44844026589675,3040.717858812277
B02,22,38.15,-38.45,1790996.8,-26.15,-48.75,75,1330.0893475765702,1336.9693309174604
