filename,date,lat_min,lat_max,lon_min,lon_max
possible_detections_J/mrom_0918_J11_049175_3037_MA_00N010W_2017-01-22_27to43_341to362.tif,2017-01-22,27,43,341,362
possible_detections_J/mrom_0845_J04_046288_1671_MA_00N026W_2016-06-11_-58to-39_325to346.tif,2016-06-11,-58,-39,325,346
possible_detections_J/mrom_0925_J13_049668_3258_MA_00N149W_2017-03-01_-5to31_202to223.tif,2017-03-01,-5,31,202,223
possible_detections_J/mrom_0836_J03_046059_1576_MA_00N254W_2016-05-24_-56to-22_97to118.tif,2016-05-24,-56,-22,97,118
possible_detections_J/mrom_0845_J04_046280_1667_MA_00N168W_2016-06-10_-52to-31_183to204.tif,2016-06-10,-52,-31,183,204
possible_detections_J/mrom_0931_J14_050119_3448_MA_00N221W_2017-04-05_38to58_130to151.tif,2017-04-05,38,58,130,151
possible_detections_J/mrom_0890_J07_047659_2300_MA_00N018W_2016-09-26_-2to31_333to354.tif,2016-09-26,-2,31,333,354
possible_detections_J/mrom_0922_J12_049495_3182_MA_00N106W_2017-02-16_25to47_245to266.tif,2017-02-16,25,47,245,266
possible_detections_J/mrom_0922_J12_049482_3176_MA_00N111W_2017-02-15_25to47_240to261.tif,2017-02-15,25,47,240,261
possible_detections_J/mrom_0845_J04_046298_1675_MA_00N299W_2016-06-12_-56to-37_52to73.tif,2016-06-12,-56,-37,52,73
possible_detections_J/mrom_0830_J03_045889_1507_MA_00N293W_2016-05-11_-42to-25_58to79.tif,2016-05-11,-42,-25,58,79
possible_detections_J/mrom_0834_J03_046011_1556_MA_00N024W_2016-05-20_-44to-27_327to348.tif,2016-05-20,-44,-27,327,348
possible_detections_J/mrom_0919_J11_049293_3091_MA_00N352W_2017-01-31_24to51_-1to20.tif,2017-01-31,24,51,-1,20
possible_detections_J/mrom_0912_J10_048850_2884_MA_00N138W_2016-12-27_30to57_213to234.tif,2016-12-27,30,57,213,234
possible_detections_J/mrom_0932_J14_050184_3474_MA_00N196W_2017-04-10_42to58_155to176.tif,2017-04-10,42,58,155,176
possible_detections_J/mrom_0877_J06_047206_2082_MA_00N249W_2016-08-21_-35to2_102to123.tif,2016-08-21,-35,2,102,123
possible_detections_J/mrom_0934_J14_050343_3538_MA_00N217W_2017-04-23_40to59_134to155.tif,2017-04-23,40,59,134,155
possible_detections_J/mrom_0878_J06_047224_2090_MA_00N021W_2016-08-23_6to63_330to351.tif,2016-08-23,6,63,330,351
possible_detections_J/mrom_0934_J14_050317_3528_MA_00N227W_2017-04-21_40to58_124to145.tif,2017-04-21,40,58,124,145
